lng,lat
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09889833,42.340856
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
-71.09814117,42.34133517
